nomeBairro;casosBairro;strPesquisa;Latitude;Longitude
CENTRO;9339;CENTRO,  Cascavel, Paraná;-24.954817;-53.4652976
FLORESTA;3712;FLORESTA,  Cascavel, Paraná;-24.9209976;-53.4213395
SANTA CRUZ;3664;SANTA CRUZ,  Cascavel, Paraná;-24.967149;-53.4984792
CASCAVEL VELHO;3259;CASCAVEL VELHO,  Cascavel, Paraná;-24.9716516;-53.4181271
SANTA FELICIDADE;2903;SANTA FELICIDADE,  Cascavel, Paraná;-24.9965931;-53.461171
INTERLAGOS;2737;INTERLAGOS,  Cascavel, Paraná;-24.9151257;-53.4371987
NEVA;2646;NEVA,  Cascavel, Paraná;-24.9675837;-53.4695668
CANCELLI;2329;CANCELLI,  Cascavel, Paraná;-24.9420483;-53.464458
PERIOLO;2254;PERIOLO,  Cascavel, Paraná;-24.943197;-53.4141755
UNIVERSITÁRIO;2247;UNIVERSITÁRIO,  Cascavel, Paraná;-24.9885607;-53.4435642
PARQUE VERDE;2160;PARQUE VERDE,  Cascavel, Paraná;-24.9431463;-53.4905271
COQUEIRAL;2136;COQUEIRAL,  Cascavel, Paraná;-24.9525208;-53.4874823
BRASÍLIA;2000;BRASÍLIA,  Cascavel, Paraná;-24.9333298;-53.4238188
ALTO ALEGRE;1851;ALTO ALEGRE,  Cascavel, Paraná;-24.9610537;-53.4899277
MARIA LUIZA;1821;MARIA LUIZA,  Cascavel, Paraná;-24.9725527;-53.4519488
SÃO CRISTÓVÃO;1807;SÃO CRISTÓVÃO,  Cascavel, Paraná;-24.9394956;-53.4351218
ESMERALDA;1692;ESMERALDA,  Cascavel, Paraná;-24.9729866;-53.5076899
MORUMBI;1594;MORUMBI,  Cascavel, Paraná;-24.9399006;-53.4016622
PACAEMBU;1567;PACAEMBU,  Cascavel, Paraná;-24.9572725;-53.4189106
PARQUE SÃO PAULO;1505;PARQUE SÃO PAULO,  Cascavel, Paraná;-24.9780928;-53.4651462
COUNTRY;1492;COUNTRY,  Cascavel, Paraná;-24.9380555;-53.4492587
BRAZMADEIRA;1340;BRAZMADEIRA,  Cascavel, Paraná;-24.92486435;-53.44280083462664
CATARATAS;1325;CATARATAS,  Cascavel, Paraná;-24.9544878;-53.4044373
14 DE NOVEMBRO;1179;14 DE NOVEMBRO,  Cascavel, Paraná;-24.9866187;-53.4797755
CANADÁ;1136;CANADÁ,  Cascavel, Paraná;-24.9330169;-53.4600598
