nomeBairro;casosBairro;strPesquisa;Latitude;Longitude
CENTRO;172;CENTRO,  Cascavel, Paraná;-24.954817;-53.4652976
FLORESTA;79;FLORESTA,  Cascavel, Paraná;-24.9209976;-53.4213395
CASCAVEL VELHO;68;CASCAVEL VELHO,  Cascavel, Paraná;-24.9716516;-53.4181271
INTERLAGOS;57;INTERLAGOS,  Cascavel, Paraná;-24.9151257;-53.4371987
SANTA CRUZ;52;SANTA CRUZ,  Cascavel, Paraná;-24.967149;-53.4984792
BRASÍLIA;51;BRASÍLIA,  Cascavel, Paraná;-24.9333298;-53.4238188
SANTA FELICIDADE;48;SANTA FELICIDADE,  Cascavel, Paraná;-24.9965931;-53.461171
NEVA;46;NEVA,  Cascavel, Paraná;-24.9675837;-53.4695668
PERIOLO;43;PERIOLO,  Cascavel, Paraná;-24.943197;-53.4141755
PARQUE SÃO PAULO;38;PARQUE SÃO PAULO,  Cascavel, Paraná;-24.9780928;-53.4651462
UNIVERSITÁRIO;34;UNIVERSITÁRIO,  Cascavel, Paraná;-24.9885607;-53.4435642
CANCELLI;34;CANCELLI,  Cascavel, Paraná;-24.9420483;-53.464458
SÃO CRISTÓVÃO;32;SÃO CRISTÓVÃO,  Cascavel, Paraná;-24.9394956;-53.4351218
MORUMBI;31;MORUMBI,  Cascavel, Paraná;-24.9399006;-53.4016622
MARIA LUIZA;30;MARIA LUIZA,  Cascavel, Paraná;-24.9725527;-53.4519488
COUNTRY;28;COUNTRY,  Cascavel, Paraná;-24.9380555;-53.4492587
ALTO ALEGRE;27;ALTO ALEGRE,  Cascavel, Paraná;-24.9610537;-53.4899277
GUARUJÁ;27;GUARUJÁ,  Cascavel, Paraná;-24.9865703;-53.4945098
CATARATAS;27;CATARATAS,  Cascavel, Paraná;-24.9544878;-53.4044373
BRAZMADEIRA;24;BRAZMADEIRA,  Cascavel, Paraná;-24.92486435;-53.44280083462664
PARQUE VERDE;23;PARQUE VERDE,  Cascavel, Paraná;-24.9431463;-53.4905271
PACAEMBU;19;PACAEMBU,  Cascavel, Paraná;-24.9572725;-53.4189106
CANADÁ;18;CANADÁ,  Cascavel, Paraná;-24.9330169;-53.4600598
COQUEIRAL;18;COQUEIRAL,  Cascavel, Paraná;-24.9525208;-53.4874823
14 DE NOVEMBRO;13;14 DE NOVEMBRO,  Cascavel, Paraná;-24.9866187;-53.4797755
